"old","new"
"Ctrl_ATF4_3.normalized_counts","DMSO.ATF4.3.normCounts"
"Ctrl_CEBPG_1.normalized_counts","DMSO.CEBPG.1.normCounts"
"Ctrl_CEBPG_2.normalized_counts","DMSO.CEBPG.2.normCounts"
"Ctrl_CEBPG_3.normalized_counts","DMSO.CEBPG.3.normCounts"
"Ctrl_Rosa_1.normalized_counts","DMSO.Rosa26.1.normCounts"
"Ctrl_Rosa_2.normalized_counts","DMSO.Rosa26.2.normCounts"
"Ctrl_Rosa_3.normalized_counts","DMSO.Rosa26.3.normCounts"
"Halo_ATF4_1.normalized_counts","Halo.ATF4.1.normCounts"
"Halo_ATF4_2.normalized_counts","Halo.ATF4.2.normCounts"
"Halo_ATF4_3.normalized_counts","Halo.ATF4.3.normCounts"
"Halo_CEBPG_1.normalized_counts","Halo.CEBPG.1.normCounts"
"Halo_CEBPG_2.normalized_counts","Halo.CEBPG.2.normCounts"
"Halo_CEBPG_3.normalized_counts","Halo.CEBPG.3.normCounts"
"Halo_Rosa_1.normalized_counts","Halo.Rosa26.1.normCounts"
"Halo_Rosa_2.normalized_counts","Halo.Rosa26.2.normCounts"
"Halo_Rosa_3.normalized_counts","Halo.Rosa26.3.normCounts"
"Unmerged.Module","Unmerged.Module"
"Merged.Module","Merged.Module"
"WGCNA.matrix.info_NoArg.GeneSig","WGCNA.matrix.info.NoArg.GeneSig"
"WGCNA.matrix.info_NoArg.pval","WGCNA.matrix.info.NoArg.AdjPval"
"WGCNA.matrix.info_NoBCAA.GeneSig","WGCNA.matrix.info.NoBCAA.GeneSig"
"WGCNA.matrix.info_NoBCAA.pval","WGCNA.matrix.info.NoBCAA.AdjPval"
"WGCNA.matrix.info_NoGluc.GeneSig","WGCNA.matrix.info.NoGluc.GeneSig"
"WGCNA.matrix.info_NoGluc.pval","WGCNA.matrix.info.NoGluc.AdjPval"
"WGCNA.matrix.info_NoGlut.GeneSig","WGCNA.matrix.info.NoGlut.GeneSig"
"WGCNA.matrix.info_NoGlut.pval","WGCNA.matrix.info.NoGlut.AdjPval"
"WGCNA.matrix.info_NoMet.GeneSig","WGCNA.matrix.info.NoMet.GeneSig"
